[72,0] 1
[71,0] -4692398646544585586151029372658
[71,1] -82403760131411146813482846557579
[71,2] -408452563096928021255995362170980
[71,3] -174622690245176892038216052634037
[71,4] 5473506986857655405706354785842382
[71,5] 22836134322352558342614011835273831
[71,6] 38965946442123204546805524857828320
[71,7] 5430481824657580447833105043459917
[71,8] -111128289764209694928216172697615786
[71,9] -230930296539313146765847392999309419
[71,10] -183078894182812661563055466181700916
[71,11] 81443945518388887994456154508631111
[71,12] 347941522444023271991665611688720598
[71,13] 340844223016652233475419676265532051
[71,14] 60709988292483409391627789548312296
[71,15] -207904034957621858613703105297681787
[71,16] -235599259708899914806637845331141010
[71,17] -76905631983237604032623750309820267
[71,18] 64112916726375448388683566500031676
[71,19] 82988315752526833538080744014275467
[71,20] 29265802798283461315829247876739406
[71,21] -12843688719533257351363243610972777
[71,22] -17451188385963283230660348355508832
[71,23] -5585472518652974423294790424609659
[71,24] 2017852708248491201276175787398306
[71,25] 2382442306255647950351326224129871
[71,26] 596271362654859672821931218773020
[71,27] -257166153875607642826634741326839
[71,28] -217773973748646592402749861637674
[71,29] -34209523405148425096551384874557
[71,30] 24269453397577684019126809316792
[71,31] 13183389864091215384666810775937
[71,32] 611191992561082140042099388956
[71,33] -1557650496805073851993816381762
[71,34] -499830964004445161607389075568
[71,35] 48111164734032781885660708418
[71,36] 64369812162896896090677838972
[71,37] 9981401895673046880389847290
[71,38] -3733023682467835161035017136
[71,39] -1606719863828496748887204010
[71,40] -10800261853864908713683970
[71,41] 116895314870669034015985985
[71,42] 20542882021071356155672308
[71,43] -4243883305908536360646929
[71,44] -1867645793227739816210834
[71,45] -25726417986362621348717
[71,46] 93875891382270460740568
[71,47] 12884370159348197950129
[71,48] -2742639289202665520958
[71,49] -839031522863197534261
[71,50] 21849451299670210388
[71,51] 32448755416080700197
[71,52] 2126453905074109374
[71,53] -833389660127400085
[71,54] -124201277805023824
[71,55] 13312412157087409
[71,56] 3876599419590904
[71,57] -66467143877420
[71,58] -82429678406000
[71,59] -2835803786116
[71,60] 1254553228948
[71,61] 93096833710
[71,62] -13614010304
[71,63] -1545718422
[71,64] 100995938
[71,65] 16544207
[71,66] -462636
[71,67] -116227
[71,68] 994
[71,69] 497
[71,71] -1
[70,0] 8979219566258864823298009707453390910099010558274550190003316
[70,1] 188056010034242173094508531041458476868510548362112388818987884
[70,2] 1935839846589301584985781625868570988533756092432277409138645427
[70,3] 13055824718224385439124614143029055891412854210014488199110317804
[70,4] 64881490076186200620439877452607092661328333681394328715760296958
[70,5] 253349439558744641532129967761102493065415834372485157318794126960
[70,6] 809465654291260299876853517973545565842477429493796656677728798813
[70,7] 2175976032344329102477219852359784930568592960505053500891856500368
[70,8] 5022274583771457601818200554677919859123185400296848861288401576100
[70,9] 10107191172870296694621471192642859920947793323107492479556774083056
[70,10] 17950953455334388127132921638740417863000285669615071215598444008264
[70,11] 28410515061875769444697545611796442766003861790092449084218492054992
[70,12] 40387429554352236000350063433038712276254444795445926237321812646648
[70,13] 51909391935608045938030886758469864114941833917793466759617046319032
[70,14] 60656843870897418030732516082691797279496824534727141036915840781818
[70,15] 64742049171813825990044434610965765137372888973002646955064237431816
[70,16] 63373861034323866529122667756545252045465415717420854665714054732020
[70,17] 57089051362132999428075605326509309392971471279960014546996578889804
[70,18] 47469382237188959461795609580594242773411249442441194429930365432571
[70,19] 36527500759523706922367639338351180482562490360995989750721179948684
[70,20] 26070681676973349602730543380756690209149186823224840093938118800190
[70,21] 17292737933589258964452850170968506801745223559221048716447993746120
[70,22] 10678130066295419166360701931592491119071784833701084859952554556219
[70,23] 6147363207335712508252353714099516948721369550845493551139060426744
[70,24] 3303682801763098355259599626832324455668283809613961224431638086456
[70,25] 1659193906321581401248290045672346540097135798793237045050556143896
[70,26] 779445434791857494421867889941404693189193209219205747930504364048
