[1,1] -268435456
[3,3] 6811549696
[5,5] -46008369152
[7,7] 95441518592
[8,2] 1642070016
[9,9] -95889809408
[10,4] 8322482176
[11,11] 56200659968
[12,6] -21233352704
[13,1] 3801088
[13,13] -22754100640
[14,8] 17242588928
[15,3] -1134268416
[15,15] 7153371884
[16,10] -7831625856
[17,5] 1100934656
[17,17] -1422131290
[18,12] 2730212946
[19,7] -593996096
[19,19] 219533828
[20,2] 6154496
[20,14] -489476616
[21,9] 392805464
[21,21] -23410598
[22,4] 47532160
[22,16] 67353863
[23,11] -37124756
[23,23] 1456322
[24,6] 31038381
[24,18] -5183924
[25,1] -5104
[25,13] 4300526
[25,25] -43877
[26,8] 2970760
[26,20] 126991
[27,3] 17458
[27,15] -276921
[27,27] 406
[28,10] 24041
[28,22] 1566
[29,5] -319
[29,17] 58
[29,29] -1
[30,0] 1
