[54,0] 1
[53,2] 8197478139401811040328581410315597768315048
[53,5] -4475591860260781468434818170048425305967375
[53,8] 475052200314665373650782158251893284437440
[53,11] -18468213977372193981493570955560897456600
[53,14] 347649440194945138228935209902065589072
[53,17] -3700425109105481990947847924641339382
[53,20] 24523428512680072154489733472736608
[53,23] -107813792893849512833038199546572
[53,26] 328176676577300095034742417320
[53,29] -711616893490817866150980647
[53,32] 1118658243695204524171072
[53,35] -1285207157455589824776
[53,38] 1077763193385975024
[53,41] -651705943663570
[53,44] 276463537056
[53,47] -78014516
[53,50] 13144
[53,53] -1
[52,1] 2935292960850673919674763782767596143304346621456493317099533471723068095795318426240
[52,4] 3425176779905275218069238006295974640930969543921011000080900946361128270454381378676
[52,7] 408107786808635853930009576431257531590885743254816846890519945429239366210724142800
[52,10] 12420402286233900914849587559169994674344022625389590305654383759164063739039262185
[52,13] 135843925489321802691551108866702488458303358277908885658462283233286115257359360
[52,16] 633641318800789291166829271507769232186239481944499361955464025990319643884296
[52,19] 1384707773340658763165484216107190877679563339955252014408776197286279473312
[52,22] 1489612558135591621519613003568819046944262996936926785515778828819391134
[52,25] 803380137457744414724713723790095634979672116879058562941630918650496
[52,28] 215406417387381048500671053999474167988661797954637539591032478700
[52,31] 27695445172755366975166038412215584960005997205428842427472384
[52,34] 1591146965116243943037914664469388491494122430368070288800
[52,37] 36207558758841795192642766333684476388460394677970432
[52,40] 266394109270090021947334342441562046575350664216
[52,43] 443492012559393995130490861806681989897312
[52,46] 83733016144592589960672718163099754
[52,49] 356754828697143520265324672
[52,52] 57204510445492
[51,0] 176996945431013966291819214639010191956759406028918655180937059157118883975361461100315566922151590975575654292710140428288000
[51,3] -429492769756783303178701204825375047946009534456106468253181138199132237353377798171230444262293651043025984034399815678482
[51,6] 433578413360425097170095003940307953964097335570268558115745059909319786191166363827477348474299967491745356196369561728
[51,9] -236617113073069552660241522244654464224892474562302486867416542424998743747826846630594407538763119519668668726835952
[51,12] 76065542989642181430431798173899858725843925131277456730798258554140966740736344496239379022393317365022804013960
[51,15] -14764671470675584222355431931744062291513709431666320065189507729812539020640746849374369807351391703524301473
[51,18] 1714554015093580078334447489636595002697076695531989110661297361678700686366169295119888395832373362843200
[51,21] -115030798511945276091847502953311702242253653727737269274745492228144934519569758382021539394058286424
[51,24] 4203610575738752699385794639479882292591254912812525429527381703948998015114775160429068349195776
[51,27] -76882035987983487015623131222443678603816202586305632227449700463622211044401667131787205056
[51,30] 627322609329880581151295457026380427281178987337509719273014433024965437180401475392544
[51,33] -1956477849094934924533028688661237666610115819400370388235295069255073547712742780
[51,36] 1885823224027261884689053253688469164203784860622596183472503524942733646536
[51,39] -413398802270563235404770822943842917796495663669535313258394344056737
[51,42] 12767971724917376864854507845321537335828091744093380724634240
[51,45] -24766882122039002002354811317489815922066368689922416
[51,48] 424039279332573906567659513700222447289008
[51,51] -1279423178219320178925948782
[50,2] 24175409583831353284789193889719575714006035607596694823711167423963973844675337614158136606168042687020793304016998526649683512012585190400
[50,5] 525442571596736542349548091574815731346026984551205223694388435967586109095088497992262911659682164298171836025144068345595503994596215336
[50,8] 1993375538796390573400899833166245321967421132048452929578396026603504491682552512326844695238959511039813701992547118583349585522815744
[50,11] 2245185612757431297186428841225420571794686874663593376576946135220882312935156308774514936117880258774114205738156797112214020090624
[50,14] 918438262399033887336038218893269511867076583427766634760909684224141349765527539875317195834039034989343262691010344515195684820
[50,17] 148248269834462944408759586267129397473065967492647224184881371459942388154368474330509560509455384099191919248353612797568752
[50,20] 9634571273362411638174046595979478155870705330959612922394416846592517449691726946604106993041142534330904281951709036935
[50,23] 246250910502372287819680350159425304194123860503513251289969674446435101437895342280862368036873400452914592568475040
[50,26] 2327111693715190535061943704669298726022202905066962108325262264766721642498902571201213175208115640022058632536
[50,29] 7341751884340236806234709448737399477254643150314705596826469598126470476807375763305300467135056335338600
[50,32] 6645528820978148237276551217172235941448947839035810753756648749838326238802056346978577522785740506
[50,35] 1385826230666928169815476258142314470817209465514222073750030391272419437879909125493543045760
[50,38] 48186654728799966679462648194488788240823024291747230877643557349568989488091937825108
[50,41] 169229413107542845057943336124953334960820952003720863609238596103209167308752
[50,44] 25283409253039766097267658791869072771836505311192836031717975930919
[50,47] 33222778879994816654553049672632951368020211057021364704
[50,50] 14201936226223826787689923787570753471232
[49,1] -3738810078726283600881438913398750168718986288500928985399666670016435106590580093821981661651333907818065987484185870800648025598463370004600797265920000
[49,4] 147495038234978273610769802118443220459328180807775311347049644418378041728934546853446443845426838993433916069216281968322567060841726249356489861079680
[49,7] -632483067152216416152036025230455009383169779613452384042372435247353181059382781328910786308071597087940777847720805455200068075067138940869150031424
[49,10] 852668587999805055296023913891179160675351001488021715434997648359726099288801353281045175974292126154670372886673127855435495730124817606585355248
[49,13] -487607900408422196400765880435107866937138748615552274597603389054533252247910370003619961792374590380762840532074092127419562375402855439724782
[49,16] 124666331825919642389950556056608746027844864171914444450071538060632027139293223366890288602023864244085897364735367818801251031512217848960
[49,19] -13274845140349712148139204635491717675370636173437602917124966532714483313285672218306974059770751461889338680375235766064201799168977328
[49,22] 512304691274579339494929401448135407287900749498843296552144117904526461707955224516110050195717724689904031682805703133737065996376
[49,25] -6136172248313416004411898287696934772653680128112799885779275113768262108120343808146745833836883521111203344517521497787367349
[49,28] 19502531873053531117052341916395858916924617235895310073784499677862471019537752825448462578424617257504346391522437359488
[49,31] -13765237162401255828869302286890912244363277968270504500448239425791710545716297371363362236942427251400364772345216
[49,34] 1711412806121233689005252298068191133437240481378389057957651378892551064321551575286693343570579359483422992
[49,37] -26986465330598773190455019938455491825196899319280390774617925668573883586351449392603087776337395526
[49,40] 32837660348541041732263519295599343896177498410393861113881010654134896639367294060310603904
[49,43] -1378972890701213309012617882791263369125399634057288945013850223543481624926732144
[49,46] 486062413763351003536148082002917089365089250846017607240327608131864
[49,49] -82352065799465775671519391664628815554687646136164117
[48,0] 99377414907643013592504575073886332997812153759368534952897772924853543496234123717321139110359114278495281012227471870349834572732647856392303774152521511075840000000
[48,3] -160762964491285634466409659959067560279266541573130922688026875605285921385699752766700486547759705378707977597678657947978589204670363748845254512879113517580288000
[48,6] 97949787114340061821816194379191922672306941428637909346020744661539284162211258465937069183234404601938461703586225342755620051965107877737400675581190458777753
[48,9] -28401077965378896691102025865058144240673219609072623703175478340068641252372093121733488737146608448804421519466091927484880168766954769700763485973271281280
[48,12] 4677698013149638308567582056778423296309006987309687326684789513375769848688478912262544605073979507490604253152390314894241290697254956046893456003171552
[48,15] -736758918159207023388909051927891395249622468655630461938686942505567543842379503612232515231826197789778563167885146030870381928957412253406448141272
[48,18] -85511451072437057303508531871556244946443395226974587780327006853180391763068995122604530506938850484836955656766033148894235129889433310539599044
[48,21] 92368544469389077848588870381610187364319520703981001685912960392595560413286584008235074041259868287581837664561511498095566261563314910855872
[48,24] 6584972182725848159684540055939213682415568036641422747360394109755537116941063706818996955630401288266533232979693631140492349212421452228
[48,27] 63882042317093597837832428739731625372565369707633337497401713165022759032376335031719012877257829704105992649621158361661238801639936
[48,30] 91258003841455418745361905361136944186132161015343147976600570819860439005015626732174484153924816791434226241362472001748881600
[48,33] 16403678573032720183050744287748839325001164806342486106507752645611720728051343056637070563326108083364006332463362868832
[48,36] 277042819186251603344848155973637433929068004001674526257843028074354992819268108884869145098302201045814661622272
[48,39] 277001367258472180462244884942179382367844459734597018021134240185611726980848286353937305448039492915368
[48,42] 7801896319125599774118166266953582781827819634714521544914848274536928938801305034116411890260
[48,45] 1725420378361106422976896090896191408677794433380210314373108118265998160635506560
[48,48] 242837593470963722061959362401183308497603164604672164849244261620
[47,2] -5075798792816267164367957800519026768546600320973750716061370671383418139924755855762508291604820771372962858475720751531830749012692428669638356661350564889072605593600000
[47,5] -132745948449270080821931402716930885495380569933592018418708595465726373750856459790523456308539267779807335809911250531483750548063972144552558920314855717830107341209600
[47,8] 99266912918565390778733127187874951971092545201434180391475609657214292981878658747270599969508564338784540672976293161683559692291903957738327757855308742053217931328
[47,11] 16049135955224956833006503759462555434516585257495285385097133708225064698165193624680222325426875705607490230627339539301239683883038513902961104497003504459773976
[47,14] -15986632895880553824736363223746968544661497716982287277275413431305286141294396627777401563251079869033768782860270775824245260307046569354077023753626964208768
[47,17] 196661484640284032622881501805126220375366399493048537715924176210949864777871071405820846366651832734478745136564738520215671245975322761436673995452180744
[47,20] 109079712049458359741018893063312304918664675732312557081552723856530946261081681635146831459730941809733595685351910433336586378855469620411694754751744
[47,23] -5124577162739782600491405528129367702497239403337534183788679111656383885145870183345476230009088349757658154265471211583195008390016048141633146098
[47,26] 395892400744712656337707427951624932856119518006508961853239169809760930973354038811728934533491974293573246112660544642244778599501660101686048
[47,29] -3093792638581231022791569688448924834857587460325709670550869178150359418624358851110455830767615778428814326021624653993749919003298749244
[47,32] 1981734280597674087060220530366336166362640071054304382186661724905567033889186874239926431027940968922305331864252069136592180461088
[47,35] -81148720810869310769953272916559047686062982455373952468163223182375012235231577675572483302240964331279877985602930999704432
[47,38] 142942764527278625374042254946942489187639499321277397114622960216201462177300151277919384721480734894836662438680576
[47,41] -5587165760931880987004781006245916673949754123821369775254586164492202603072484848735008179218657492502184
[47,44] 1545361405043363413352220324267304953043076403198587191520812724657279117545157853424077711808
[47,47] -334589189299634842620805433343326083549837907995526992994848563406911013542266
[46,1] 127443342598372429769004666231082927725572205659682932343504601381829500149931754667611304617771414215554264654853524966511635002238794765934095118864481680423099848321925120000000
[46,4] 7826077600979828363047725209742401428043503778522693585049130941618856528626566954590442931539059593207355148543818346701903015481905562207792562531012897249521822552435589120000
[46,7] 7453982913420052751102509459868472342762307629520027569184858714871621660337947593859319485534442009878511259259292523937066467589412960074923238963653961776649307977361392640
[46,10] 19982052375548576647780381701372241642310634736369764610602041633191995244562723850554334447452284538043516069229572401888812437987672045171152898015017381827417697811339360
[46,13] -3295171180277646529663047082042778245048759620448129274669053530766804339377594157372231654049924007755823936502524220131044303634890360400176226523904295627230011094256
[46,16] 1504665432548119600569433051642228268109084381046308006809885389044503489095545250466728185616133780356052817940266088388675751635763509518357985098451195787174417171
[46,19] -147989849744747359010477718953516830141702444465172654422571968173193480306402431595031154561292234873380525332742139373621628413989049810753340793130372053387392
[46,22] 6228727074263089082605756396742898216098180275910692358857213945447952648428583930297352394709403179753975156182440255548869425896668798275083302319405615600
[46,25] -49130585683787009083921755804306631030051612926173063875259298375042010007369301393472361366863482553768849913521834355072697913407848764750481473942504
[46,28] 411697347983294423181190339502512424597652421216064430199959974569041129421530221643128222045976540344587260696308807946289720789099004497810859790
[46,31] 2720111692030446665014594077193324557444786504904721256477420827621733692501729683094608752617324779929049150672372586381637744769894832860928
[46,34] 680640591425418609387213106551272720247766081493169916598492919550942837833366031655111535425373984997422061719803340768367528775164848
[46,37] 4587835634002707738726865455003701154972285197301531077768064381018786460362265510533651390588645094858932017408902893917763792
[46,40] 497697976508929824578559564409826639567598171887680687944619346050392176551976253060856914583653443612751041167625400
[46,43] 322995815278464674375676072913711021852390855855318561471525326363150622766467141752848669678227524130688
[46,46] 187363440340636277576879324591922602081146849666152776756914785730817083787750669592537680
[45,0] -139827957563439683831017892863765901003102897715222944571642897442859491940822220330466021559791012798011743860673978174695545839354517473636990231135430341823946554514216058880000000000
[45,3] -56614124715661894121391006095152966579391640454259966739717670555142816157676617028145951060166704359815042048226365077733909589254852785091303132169480549568590062502440565997568000000
[45,6] -69199439053786695569543648360662948553187917425462953157547988163678550263297773570883898037526996922818768652344804372005693498926157185215140243584621910855911351025404441198592000
[45,9] 397388276050206631960828284988448641333351898797585423131319252730798047555759940353961145031015917434092517113783388780198283752867218666720655242053778885541820817594047438507216
[45,12] -115978332805015323420188076113793667169691776661416752198938628044084827711348742535354111602559850838548560858396427227338828590285810207154968013761858219637986586837065343360
[45,15] -43703649885096408726092917432661028922249452691365402002482016554200279601587047492933623204550978857109871616372307942044290709909597751521534496534314263740321761625116752
[45,18] 4436111090717829454780700771476705784890459042297225541673827138787413454959852464359068961186010158829024123909182971116870397724917257210523754177221553962494182226864
[45,21] -28092073856331766662504843816957678317617282434312419535335998133167862890775636350396959716938692265617324178591463796110243900952257817662025890026969965012394338
[45,24] 3972131300081550522509172583435819886319049390640030785924857019414633690214185083752276471672580494586817667617402072459864253889401397587285606207569125887424
[45,27] 35855501786955657521125993453799227850423057618636976975525296281005026814124087690056457820840755615157379258704153208486964373942787535109950788969705192
[45,30] 6217878431668388654213036906909683001994511759652782827781253588236958935430903870844826781425163526027880866862074994573499171281814748589506385920
[45,33] -121338647515950133638680333453859847670447532692320962291580965608488984430315758824873182630198227673041301086658413186083783163115734587181312
[45,36] 7368973898845180160380323472143618068317549994255544987063593699616355157388975672421876261191442733047848809206575754683126553119636512
[45,39] -4677327556742304949822384824153479661967909187696541436543373172513174849190719128418143179619616336568996958395473523626837924
[45,42] 13348462563609442544452319275265135099515536065281370594706887480996924603619801747246436920017997226796080331755664
[45,45] -35198592718823227933135041693427669340358028833925812447479379631082055109610897010862029154437064678
[44,2] 149566486518905604174627419023381866936731870610873492347825266966619653657166246903788621181502837251325745615269490451441345162930956348159624218968986907515326449228470473315896524800000000
[44,5] -295897616232140461727277326891851715627300856568349557770953655223437315237337121507536367282542719552938018636274891382623456967398880342656083032413033224730881425762221453865490841600000
[44,8] 828910114006971752340132893769838813911025998341164561674127233941457632540070831383223703003841950517928099841395415677240652151156964234037295955110117243895229472514285634789960704000
[44,11] -669638891980891732606812780356877955662268961255448735342189068373504452569355509222955891886929477444406716929296865548406275091967079234971979527428682799820971890393602583271533760
