[1,1] -150094635296999121
[3,2] -916122063247217079354
[4,1] -411370481925108702
[4,4] 2324954238665012279181342
[5,3] -786173457060790078771881
[6,2] 16243260579716529676977
[6,5] -43591285383210986158035306
[7,1] -449460341362618767
[7,4] 421282011280430507168898
[7,7] 753607933713928482013404162
[8,3] -3145725531868767354375228
[8,6] 487651915061850076152338466
[9,2] -32808388371799013849736
[9,5] 138355376837652962389487799
[9,8] -3447939427837101753406306776
[10,1] -247160865683398644
[10,4] 41556099794837874166974654
[10,7] -1757370694710023112425844060
[10,10] 12169383317932335408080528832
[11,3] -138999508763068863418239
[11,6] -413521259539906088833009428
[11,9] 9369811703151163790959003038
[12,2] 16459067273396611908267
[12,5] -38873938032301914319489092
[12,8] 4133795963041379007578073024
[12,11] -23470864919642302734183430428
[13,1] -70108331129288073
[13,4] 18244985718133439495682282
[13,7] 913441818234279725043022521
[13,10] -15049630851592709649665211624
[13,13] 33263698635975119967911343051
[14,3] 51965157710386377301050
[14,6] 58944047315075855535039129
[14,9] -5797937662624726788039928488
[14,12] 27919085292047769029163721944
[15,2] -2993300664727895369046
[15,5] -19747517460120978376680099
[15,8] -1079829130358659868101255716
[15,11] 16258449636848639418824219688
[15,14] -25822683673779906905827727646
[16,1] -8854542541394658
[16,4] 2243019244442922732586806
[16,7] 8922085855226537495362506
[16,10] 6245655950527009256496060792
[16,13] -19233160840228348282353408126
[16,16] 7846928663973914705257375326
[17,3] -28534148007123677991489
[17,6] 35429538137278265965951398
[17,9] 1423784276530855963075140948
[17,12] -10393996408763364151079360472
[17,15] 7124813938274287243455610245
[18,2] 257222094378322915809
[18,5] -510387250339127083591710
[18,8] 145947188984158399553423199
[18,11] -3817184233039915301298163044
[18,14] 5281576271990851982897037105
[18,17] -973845953594195698916090730
[19,1] -115235512509627
[19,4] -150809237958936620767518
[19,7] -987795137054284877038824
[19,10] -809880677890896431230729452
[19,13] 3128778558447415056155817639
[19,16] -715023885166536418749853650
[19,19] 484430778315729952772614476
[20,3] 3849891080034202266672
