[1,1] 4782969
[2,2] -138706101
[3,3] 1232943120
[4,4] -2912828121
[5,5] -4507092072
[6,6] 13508147655
[7,1] 5137263
[7,7] 12557754
[8,2] 496602090
[8,8] -4231392291
[9,3] 1549741005
[9,9] -19616966451
[10,4] -1329028965
[10,10] 17636047704
[11,5] -8234144667
[11,11] 2300605902
[12,6] 10121676570
[12,12] 1607870142
[13,1] 1331883
[13,7] -3904474914
[13,13] -8042754411
[14,2] -67672341
[14,8] 8689185900
[14,14] 3628918161
[15,3] 21267846
[15,9] -13932492156
[16,4] 170375319
[16,10] 10397513376
[16,16] -1209639387
[17,5] -822081879
[17,11] -6578142732
[17,17] 893639379
[18,6] 2112377400
[18,12] 4204103059
[18,18] -59550746
[19,1] 21141
[19,7] -2443072230
[19,13] -2192714244
[19,19] -28402542
[20,2] 2785914
[20,8] 1263537366
[20,14] 1155279264
[20,20] -72576328
[21,3] -14428341
[21,15] -516018228
[21,21] 26909419
[22,4] 38780946
[22,10] -421179122
[22,16] 107273900
[22,22] 1934793
[23,5] -48367215
[23,11] 271452470
[23,17] -16067798
[23,23] -1914
[24,6] 37328597
[24,12] -78236200
[24,18] 13884330
[24,24] -686285
[25,1] -3393
[25,7] -16122405
[25,13] 10149159
[25,19] -3765041
[25,25] 76328
[26,2] 10005
[26,8] 4308994
[26,14] -701133
[26,20] -202565
[26,26] 16443
[27,9] -534383
[27,15] -29174
[27,21] 78735
[27,27] -2320
[28,4] -3335
[28,10] 34394
[28,16] 30943
[28,22] 8410
[28,28] 87
[29,5] 377
[29,11] 87
[29,17] -203
[29,23] 29
[29,29] -1
[30,0] 1
