[1,1] -94143178827
[2,2] 8849458809738
[3,3] -282199408710534
[4,4] 3407369399482824
[5,5] -10390247915833494
[6,6] -19293040192348701
[7,1] -163878866847
[7,7] -38040976786450653
[8,2] -201243248488116
[8,8] 205318535545774134
[9,3] -5766241808878542
[9,9] 593141086774268190
[10,4] -10264401085270320
[10,10] 1041064820684928783
[11,5] 1632658384932390
[11,11] 298852990171363836
[12,6] 153805953159650682
[12,12] -1467438218291792682
[13,1] -97113402576
[13,7] 568946977511012010
[13,13] -3549653915857430616
[14,2] 190896624721998
[14,8] 1324000607131797408
[14,14] -2980908294014105343
[15,3] -428662605362238
[15,9] 1799065398444486534
[15,15] 653589963792927558
[16,4] 13793854170966498
[16,10] 979260254301283002
[16,16] 5892022179335399814
[17,5] 112984588859911758
[17,11] -2218333972683318984
[17,17] 8775395266851538569
[18,6] 476305808604641865
[18,12] -7020854587633740102
[18,18] 7953871232157308469
[19,1] -21580756128
[19,7] 1343080012633619202
[19,13] -11335857216544741320
[19,19] 4379190925922669502
[20,2] -31016342279520
[20,8] 2802007282588772598
[20,14] -12741136890378542946
[20,20] 1052194927871694960
[21,3] -219747997536066
[21,9] 4508458321142199042
[21,15] -11011357151106945606
[21,21] -600277946606475606
[22,4] 255293884088856
[22,10] 5828276906922171321
[22,16] -7619360535938143746
[22,22] -691069446434341890
[23,5] 11968219637875422
[23,11] 6267325293455834196
[23,17] -4449309244232778711
[23,23] -352348265051620389
[24,6] 50676911218028196
[24,12] 5881375603483962174
[24,18] -2276020481354026380
[24,24] -149392834058864174
[25,1] -990783171
[25,7] 113656985979550767
[25,13] 5037515640423238194
[25,19] -1021789995818808240
[25,25] -117449421683873463
[26,2] 1835282896173
[26,8] 166146580152104850
[26,14] 4022181104005909044
[26,20] -332270181191877774
[26,26] -76785494048260210
[27,3] 33551966412036
[27,9] 153915333348653136
[27,15] 2963720991893061528
[27,27] -22232516540980578
[28,4] 85963705724223
[28,10] 67907052142350156
[28,16] 1963457088305484240
[28,22] 110756727063959258
[28,28] 12990060837922160
[29,5] 161254993629690
[29,11] -13945288810299696
[29,17] 1179084517299064638
[29,23] 113532221757645360
[29,29] 18021361835072714
[30,6] 1443515207130270
[30,12] -33408669752175636
[30,18] 679271033590517684
[30,24] 84297054864963940
[30,30] 10910660126416061
[31,1] 97135605
[31,7] 2805871089969261
[31,13] -14271103108030716
[31,19] 393028172433021546
[31,25] 54929743755960231
[31,31] 4012526413740987
[32,2] -33235178526
[32,8] 192020402487573
[32,14] -1515061740500514
[32,20] 218161898700609360
[32,26] 31355393152008822
[32,32] 898037216786374
[33,3] -499991187672
[33,9] -3315530258837568
[33,21] 109767444144187464
[33,27] 15104742319762614
[33,33] 33205810282626
[34,4] 690396160752
[34,10] -2125185347965131
[34,16] 505020580166838
[34,22] 49656556839579124
[34,28] 5825851344480358
[34,34] -50481943708007
[35,5] 10164406005414
[35,11] 1145563859823930
[35,17] 1585678123114524
[35,23] 20730517038778758
[35,29] 1727763636114120
[35,35] -20037900251528
[36,6] 3191490716976
[36,12] 1688323283498980
[36,18] 1237358138969468
[36,24] 8067730594628206
[36,30] 356696366795394
[36,36] -2761243897802
[37,1] 1119258
[37,7] -14194269232074
[37,13] 381854619941310
[37,19] 172164059386416
[37,25] 2865718012554108
[37,31] 37567680615816
[37,37] 187448208532
[38,2] 388881243
[38,8] -7412907859446
[38,14] -236131705329459
[38,20] -279452889474692
[38,26] 888321430715161
[38,32] -5527952797966
[38,38] 217660792007
[39,3] -3294303696
[39,15] -122797416993984
[39,21] -211132144511184
[39,27] 229053412647574
[39,33] -3385258943974
[39,39] 41337022170
[40,4] 17177443722
[40,10] 2470969286482
[40,16] 2370622252933
[40,22] -75970086946550
[40,28] 47452239370502
[40,34] -830446908896
[40,40] 4769667254
[41,5] -26720432010
[41,11] 1577141025786
[41,17] 11546794608927
[41,23] -17323119338447
[41,29] 7581725982566
[41,35] -118952679290
[41,41] -294571231
[42,6] 24130455086
[42,12] -118203359888
[42,18] 1980130599630
[42,24] -2574653824012
[42,30] 896253410265
[42,36] -10719001326
[42,42] -49798709
[43,1] -38070
[43,7] -8906810670
[43,13] -125486493894
[43,19] 73733421870
[43,25] -202682850478
[43,31] 70866812346
[43,37] -37927590
[43,43] -8939682
[44,2] 206988
[44,8] 1908604858
[44,14] -2841136464
[44,20] 13102226143
[44,26] -1441141448
[44,32] 2883952242
[44,38] 79482640
[44,44] 977224
[45,9] -122011248
[45,15] 685858968
[45,21] 1704616492
[45,27] 413494626
[45,33] -29874234
[45,39] 14883678
[45,45] -26978
[46,4] -68996
[46,10] 4801003
[46,16] 15196698
[46,22] 31080677
[46,28] 19454240
[46,34] 4434638
[46,40] 173148
[46,46] 282
[47,5] 4230
[47,11] 4606
[47,17] -14805
[47,23] -5593
[47,29] 4512
[47,35] -752
[47,41] 47
[47,47] -1
[48,0] 1
