[1,1] -1
[2,2] 345
[3,1] 23
[3,3] -14973
[4,2] 3818
[4,4] 102603
[5,1] -207
[5,3] -9591
[5,5] -329130
[6,2] -9315
[6,4] -46874
[6,6] 1151840
[7,1] 943
[7,3] 25369
[7,5] 70334
[7,7] -2263798
[8,2] 16560
[8,4] 37352
[8,6] -598966
[8,8] 3175265
[9,1] -2438
[9,3] -34224
[9,5] -147315
[9,7] 1516091
[9,9] -5017197
[10,2] -17250
[10,4] 31188
[10,6] 1180015
[10,8] -1891382
[10,10] 3490319
[11,1] 4094
[11,3] 10166
[11,5] -36087
[11,7] -3456739
[11,9] 7192077
[11,11] -16991549
[12,2] 14168
[12,4] -91402
[12,6] 207552
[12,8] 863650
[12,10] -535256
[12,12] 8027414
[13,1] -5129
[13,3] 37927
[13,5] -292307
[13,7] 2235347
[13,9] -5011562
[13,11] 12449210
[13,13] -16991549
[14,2] -11408
[14,4] 107364
[14,6] -16353
[14,8] 674498
[14,10] -6455479
[14,12] -535256
[14,14] 3490319
[15,1] 4669
[15,3] -53751
[15,5] 321287
[15,7] -2799905
[15,9] 7570036
[15,11] -5011562
[15,13] 7192077
[15,15] -5017197
[16,2] 6624
[16,4] -81466
[16,6] 544962
[16,8] -1785881
[16,10] 674498
[16,12] 863650
[16,14] -1891382
[16,16] 3175265
[17,1] -3059
[17,3] 51957
[17,5] -437276
[17,7] 1944696
[17,9] -2799905
[17,11] 2235347
[17,13] -3456739
[17,15] 1516091
[17,17] -2263798
[18,2] -3979
[18,4] 71990
[18,6] -361100
[18,8] 544962
[18,10] -16353
[18,12] 207552
[18,14] 1180015
[18,16] -598966
[18,18] 1151840
[19,1] 1449
[19,3] -27669
[19,5] 178296
[19,7] -437276
[19,9] 321287
[19,11] -292307
[19,13] -36087
[19,15] -147315
[19,17] 70334
[19,19] -329130
[20,2] 1242
[20,4] -18055
[20,6] 71990
[20,8] -81466
[20,10] 107364
[20,12] -91402
[20,14] 31188
[20,16] 37352
[20,18] -46874
[20,20] 102603
[21,1] -414
[21,3] 5796
[21,5] -27669
[21,7] 51957
[21,9] -53751
[21,11] 37927
[21,13] 10166
[21,15] -34224
[21,17] 25369
[21,19] -9591
[21,21] -14973
[22,2] -69
[22,4] 1242
[22,6] -3979
[22,8] 6624
[22,10] -11408
[22,12] 14168
[22,14] -17250
[22,16] 16560
[22,18] -9315
[22,20] 3818
[22,22] 345
[23,1] 46
[23,3] -414
[23,5] 1449
[23,7] -3059
[23,9] 4669
[23,11] -5129
[23,13] 4094
[23,15] -2438
[23,17] 943
[23,19] -207
[23,21] 23
[23,23] -1
[24,0] 1
