[1,1] -58149737003040059690390169
[2,1] -245521111790613585359425158
[2,2] 5659534428008966046518482586520
[3,1] -450122038282791573158946123
[3,2] -218888993913667890720008547539610
[3,3] -41426198399984599284443974979701155
[4,1] -468589447011440834609163516
[4,2] 1319615169240094196429473152558588
[4,3] -318004930775980184031086093554080744
[4,4] 193465483287287509372660651012633254
[5,1] -303605197400174737634289927
[5,2] -2372871159643465376226482879770074
[5,3] -318646770089335190230733508204042147
[5,4] 2459285728957479693605226367843535328
[5,5] 4354856596812859555212511482527761950
[6,1] -125772970085086459441095558
[6,2] 1684994937782112745102715408685801
[6,3] -5575276127746011335066065969074126
[6,4] 3926630328959249275609290139066236474
[6,5] 4584052887236639782564631043587704416
[6,6] 3663777444624346715172478913252640642
[7,1] -32653986225254411313289185
[7,2] -565616206259598831060421469069874
[7,3] 14238407407199685737701474424966499
[7,4] 2113319770671635250222382810800578928
[7,5] 3323096110618044408385496817830401410
[7,6] 2942579594504156286828781746671626872
[7,7] 1546677055161249918420531669548265738
[8,1] -4834989147600480871494360
[8,2] 102997221797194067867708747609226
[8,3] -4554952249991380688177299719116676
[8,4] 362134198851423389851838411004641622
[8,5] 1541225827826536167735408216105178392
[8,6] 1609419799689281526343044145287959082
[8,7] 663415607928724347356414606476039824
[8,8] 368465607074352931384331386663927074
[9,1] -272037031600363229979216
[9,2] -11210575199197840635315876183252
[9,3] 912112508976566107773085613573958
[9,4] -11052036885300439581871303579933572
[9,5] 319729401523167990602400384412279275
[9,6] 513236321885364210272426675152256874
[9,7] 215132107938715931232960612492826725
[9,8] 80209603320856986945989381957757720
[9,9] 21471318480943179308295046781312652
[10,1] 20607467534573024669832
[10,2] 773609673545588425327240114161
[10,3] -55821091184579246040994475202228
[10,4] -1098299666230777091851996011427494
[10,5] 3783959396630930310747883843106862
[10,6] 122107597627400518974858153059354415
[10,7] 79522658152909131637471110190757190
[10,8] -4525235635423649811459498930177432
[10,9] -3138845628210410900291224813704720
[10,10] 1600290660694821808847878577550640
[11,1] 2936309507162636911884
[11,2] -34850445743869732188305576712
[11,3] -2563896082784470398230708265084
[11,4] -39090893637744264008686106749104
[11,5] 410836109763403317579425498381463
[11,6] 4314885482918848439069614836382770
[11,7] 14672703745043667163943870872951593
[11,8] -82761417622265244651273211909668
[11,9] -2945752086967904113634860351766714
[11,10] 116253541785570774084860178285360
[11,11] 29453111770841123879691422196588
[12,1] -12778847477472579264
[12,2] 1035502537750097760091251432
[12,3] 331327260169239452025479049720
[12,4] 5465710365028255082443880742156
[12,5] -34742352148011761456050533261864
