[1,1] 5559060566555523
[4,4] 3090345183416900387592
[5,3] 1264146844125293502120
[6,2] 60627732212250817785
[7,1] 13794705850341483
[7,7] 6124944083390745132951054
[8,6] -4761424870563240829379790
[9,5] 2157527730434370766558776
[10,4] -503635516169060775984516
[10,10] 1007977903273195526058946542
[11,3] 48277562998034323401408
[11,9] -861394263532926051525945876
[12,2] -463266073826923541202
[12,8] 531859220795223959133045906
[13,1] 13283790818847354
[13,7] -229065577525080523157098149
[13,13] 11357132763098446155896742639
[14,6] 64039825077472903391458767
[14,12] -10538055822530894586641467938
[15,5] -9973668573397027136606148
[15,11] 8224419681620059157615266542
[16,4] 543453007919741009979372
[16,10] -5098053122149514538493524420
[16,16] 130912067038441437227601327978
[17,3] 19561253942406478745160
[17,9] 2325759322849535698474387914
[17,15] -123385011820128927901836664200
[18,2] 493651193657163436863
[18,8] -696716081709741249319940382
[18,14] 101887031896067188535623825680
[19,1] 6168825935818002
[19,7] 100635587480209160930552235
[19,13] -71147053874031928080746343669
[19,19] 193942999331024092673990625720
[20,6] 8256037982732828021142828
[20,12] 40033833377933981243736321822
[20,18] -240766329769607036078369599770
[21,5] -5375360807607560359066992
[21,11] -17015735898206941690959739254
[21,17] 332597512211547245967100155924
[22,4] 563253069858264200686536
[22,10] 4846433284605495094391175831
[22,16] -376153039934795455256901685374
[22,22] 690999970094205321467651034240
[23,3] 5101642649131049428074
[23,9] -583709996914073279860059252
[23,15] 326789218575962459452860936390
[23,21] -812290174267035616021736735310
[24,2] -138868766040478189140
[24,8] -168339995517710215224457668
[24,14] -217533186337438898617102834806
[24,20] 1076577248603337823097555221323
[25,1] 1362440083984344
[25,7] 92135259654188128731307287
[25,13] 110596095444687362154932910381
[25,19] -1272576651654489679227206802924
[25,25] -11945480272951238752512369972681
[26,6] -16453535534825576956748433
[26,12] -42145564638919386173580629190
[26,18] 1250133707060480867600651616900
[26,24] 11147958757807983840064051881198
[27,5] 723025553990386934778984
[27,11] 11472618670824022751163882204
[27,17] -1015133314163596157428077029490
[27,23] -9036566884869739053951148679790
[28,4] 89504172605239067795310
[28,10] -1973235867492436777640310750
[28,16] 686052575742081125114737359093
[28,22] 6298337243837842845733865025342
[28,28] 12157186713201739766563735038642
[29,3] -1184940886429455098058
[29,9] 128048188685397103168321932
[29,15] -387872702974461290719522336218
[29,21] -3677809082110238482332682734522
[29,27] -11581984642640363981398076825142
[30,2] 15438040129607647824
[30,8] 18241248213334108284127668
[30,14] 183446032821515609880791913885
[30,20] 1677601324077653204077295767806
[30,26] 9999765542974283860037537060118
[31,1] 104140177125156
[31,7] -780466661665157978735553
[31,13] -72125669579217679936831958307
[31,19] -454507196566698235363575316086
[31,25] -7788772748781926728806669070131
[31,31] -4181176452170988679255187351391
[32,6] -1355703329390552168269878
[32,12] 23274914559238081339017917283
[32,18] -107614575368848882806770508678
[32,24] 5428930515962487740853651931302
[32,30] 4081459790434737091337774891586
[33,5] 235196085029297751257580
[33,11] -6052745679580325388974588496
[33,17] 249253756052641541721159799554
[33,23] -3344616559121923565113254915690
[33,29] -3785083369260841915419547014570
[34,4] -5790720975555741607224
[34,10] 1243416280981244008168311453
[34,16] -201470670006883354729430443782
[34,22] 1788478779290126680207425127230
[34,28] 3308128011296355725497535932530
[34,34] 147516064147450853121735941510
[35,3] -21309025958713175472
[35,9] -199698357701182943315704842
[35,15] 114143027214227038273169814222
[35,21] -808485460695472527851044060998
[35,27] -2694898506238880230135282858434
[35,33] -146206717624271431963034100526
[36,2] -811335534982712568
[36,8] 25582658806313695885778064
[36,14] -50135182907465206716391688364
[36,20] 297550858288179146338563229008
[36,26] 2022308890306570664233013200734
[36,32] 144228336732033109497594015425
[37,1] -4618453998276
[37,7] -2705308683277409001039519
[37,13] 17515503825761561016384749772
[37,19] -85517156669927706889167102777
[37,25] -1383061245999933902847081912360
[37,31] -144551913944965927670484483124
[37,37] 154858387117444025157599531533
[38,6] 205438238195436856465677
[38,12] -4875177791015483014338358266
[38,18] 20678490195853009507273735614
[38,24] 854879658158864996226152259894
[38,30] 146144520139461996803021401166
[38,36] -151165177423508781160658329318
[39,5] -4666008959700798874716
[39,11] 1069537965414815052222898158
[39,17] -8142139401142813023588715512
[39,23] -475493452114200649602796118934
[39,29] -143142100307228459555003140402
[39,35] 140188272935586737608131370910
[40,4] -182575780774022548710
[40,10] -181318693360832133834876876
[40,16] 6326626504700087076668546430
[40,22] 238533810921247704879789159714
[40,28] 129604156111147609198765835309
[40,34] -122523259677642804648056886390
[40,40] 16676524983815829583763696898
[41,3] 5404278110312034288
[41,9] 23074770983560996933503126
[41,15] -4406643070315170894028638882
[41,21] -109313586975713676294710125602
[41,27] -104912801262707973386257261894
[41,33] 99811055786625193708714179942
[41,39] -15887496080439456764606415398
[42,2] 22599402885970308
[42,8] -2103716703653901825223140
[42,14] 2264813148289273187763240639
[42,20] 46933326593001098061705313326
[42,26] 74550856610934805617435364244
[42,32] -74900329270613728304926414842
[42,38] 13717099510252789931464385542
[43,1] -536804302572
[43,7] 121780821710149785272709
[43,13] -868760686212788756284602876
[43,19] -19432263062242187722504069227
[43,25] -46146471955559793020797137058
[43,31] 51224490592590144549891922680
[43,37] -10684187584062999627992687339
[43,43] 606893272008903050983710307
[44,6] -2273317795204501539960
[44,12] 252865290731563780949493396
[44,18] 7824571368857749646104508766
[44,24] 24888788178643964303845618697
[44,30] -31662209561439444304672305922
[44,36] 7447092614489009246712828438
[44,42] -566374981344712891330795706
[45,5] -169822996686079543944
[45,11] -56050110921360017283645258
[45,17] -2972694924352735648836983172
[45,23] -11809768595470299570673028410
[45,29] 17610868596822246281585041442
[45,35] -4587951384255039183968799610
[45,41] 459105161046067116493987130
[46,4] 8267411024995769712
[46,10] 9393764587161022939948551
[46,16] 1005787285098438015539629038
[46,22] 5046535459801145490186257252
[46,28] -8834585589675840921473672582
[46,34] 2453331658834192976964917870
[46,40] -319988682814501998970373674
[46,46] 1300238352129785472832640
[47,3] -80996650251271506
[47,9] -1171025123262667645306716
[47,15] -284335525682984072201055318
[47,21] -2016584527688417981268828826
[47,27] 4048651369470876899804078726
[47,33] -1109033553766080285118030262
[47,39] 186852059244537849023659134
[47,45] -1528467269681931984964910
[48,2] -254619416096964
[48,8] 105680560202468167561092
[48,14] 62849001997381169220815718
[48,20] 780379632591050213305585496
[48,26] -1738271355296336965248344938
[48,32] 408163042919312957940415952
[48,38] -85230977192381913533368682
[48,44] 2025770026406200919947003
[49,1] 11338707078
[49,7] -6626011242751093187163
[49,13] -9884456729512450204757265
[49,19] -292295887554165689248460878
[49,25] 719713446749710656389039601
[49,31] -117307485143933754306127713
[49,37] 23091357850261557453821842
[49,43] -2394577482080776001902764
[49,49] -13516221084367199025960
[50,6] 276829945719650162874
[50,12] 860773856679885065196060
[50,18] 101239606000942952426638397
[50,24] -289798939587324060966833658
[50,30] 28365555824215376553187566
[50,36] 5467386850015184819731266
[50,42] 2352347122371967664520900
[50,48] 16779419489554642460110
[51,5] -7581936209751564192
[51,11] 26204206849602904379340
[51,17] -30440711528277897806916298
[51,23] 110099812013064283290258636
[51,29] -11168915502253515807391928
[51,35] -12663402735997639674905238
[51,41] -1910152423624816597567890
[51,47] -23179292486288136508732
[52,4] 126682790836746438
[52,10] -19356083164229781386034
[52,16] 7512760820239105508148518
[52,22] -37251380929571778353319594
[52,28] 8678500006447307375402670
[52,34] 10235770462169555186172354
[52,40] 1290928956821323768987973
[52,46] 26214752101661503225082
[52,52] 337906927370693183002
[53,3] -448880698045710
[53,9] 2683828530271071904356
[53,15] -1454041609260783422343802
[53,21] 10530945395666076748187234
