[44,0] 1
[43,1] -125732
[43,2] -28421538
[43,3] -365455065
[43,4] 14903398509
[43,5] 180521224602
[43,6] -1414650211203
[43,7] -12873470074785
[43,8] 66427321528872
[43,9] 228817917073713
[43,10] -1246475105805051
[43,11] -1045079204227095
[43,12] 9521048426990922
[43,13] -1593193224906813
[43,14] -34285283033804679
[43,15] 22438361201048508
[43,16] 63454677857325715
[43,17] -63759853214682426
[43,18] -59346156944497551
[43,19] 88128203016090651
[43,20] 18985327202083938
[43,21] -66452067176532192
[43,22] 12562150329025080
[43,23] 25931541558089913
[43,24] -14047854522822447
[43,25] -3072424030813561
[43,26] 4881664491545562
[43,27] -1170715827462324
[43,28] -473602704208162
[43,29] 376997537714559
[43,30] -86769892402683
[43,31] -8720072992869
[43,32] 12316768996728
[43,33] -4453127696976
[43,34] 1011779823964
[43,35] -165214298613
[43,36] 20283246501
[43,37] -1901120042
[43,38] 135915819
[43,39] -7306044
[43,40] 286423
[43,41] -7740
[43,42] 129
[43,43] -1
[42,1] 28421538
[42,2] 19092184900
[42,3] 1406029850187
[42,4] 112426803177612
[42,5] 3488219144603442
[42,6] 38984742169755822
[42,7] 67306230503830713
[42,8] 1134164920207869256
[42,9] 20184619489440122979
[42,10] -102620260857362897025
[42,11] 583150005952021876757
[42,12] 4331090313630110253723
[42,13] -91839647752085352472281
[42,14] 496846774379063738576669
[42,15] -1435938165835228168969308
[42,16] 3825480175284076648665540
[42,17] -9790305676532765153930032
[42,18] 13031442973755314470864821
[42,19] -6718185903857557131083175
[42,20] 22207193945217487540898318
[42,21] -37257163017507526349565444
[42,22] -33678148764468914606877735
[42,23] 13648538707003935583891561
[42,24] 104093485954545800956471239
[42,25] 66144311146125007549621605
[42,26] -76312765967639038808507458
[42,27] -152299884934249832330222004
[42,28] -75735656729350268408696982
[42,29] 45944447539722858855226729
[42,30] 95205496513589142725354352
[42,31] 71659180255363487270125581
[42,32] 32721893272769099646535092
[42,33] 9919665490390046047435872
[42,34] 2028294141257501384268030
[42,35] 275318801065053067022797
[42,36] 23892541267416910441371
[42,37] 1251922010919427327740
[42,38] 36599566187306827706
[42,39] 534104457481335798
[42,40] 3272094932914215
[42,41] 6114655873168
[42,42] 1571157048
[41,1] -365455065
[41,2] -1406029850187
[41,3] 120079338381666
[41,4] 18226920408913347
[41,5] 1214367768678178962
[41,6] 2819077039098883543
[41,7] -1227073137224332809603
[41,8] -30814224856131246957612
[41,9] -325723254777044930190201
[41,10] -2006147416640071472820459
[41,11] -18207980576250545430904821
[41,12] -115219287474717997398953726
[41,13] 650309104909212766160389257
[41,14] 3636404653389935146365829515
[41,15] -25731587559529914865001399135
[41,16] 56727238447183424116170580680
[41,17] 403362457294642778365565803053
[41,18] -2281135291807254197196719599943
[41,19] 2786586286709057301861323681496
