[54,0] 1
[53,2] -12247452
[53,5] -3660696750
[53,8] -66261687560
[53,11] -318592842100
[53,14] -662729721928
[53,17] -750354318132
[53,20] -525250302392
[53,23] -245618304072
[53,26] -80594479680
[53,29] -19145482772
[53,32] -3354018928
[53,35] -436846776
[53,38] -42229976
[53,41] -2991320
[53,44] -150944
[53,47] -5141
[53,50] -106
[53,53] -1
[52,1] -61237260
[52,4] 33403444559926
[52,7] -11369948394329700
[52,10] 211843261356188435
[52,13] -428270433352434640
[52,16] -114044414579653204
[52,19] 59231355970093312
[52,22] 32633033212344134
[52,25] 6451527348545496
[52,28] 586938254882700
[52,31] 5226011169384
[52,34] -4691427322450
[52,37] -559568395568
[52,40] -34113589284
[52,43] -1253200688
[52,46] -26877996
[52,49] -247828
[52,52] 742
[51,3] -1227425196335482
[51,6] -12533015256706430272
[51,9] -776026743636284864702
[51,12] -2117543205091098526040
[51,15] -2199685401495813082348
[51,18] -498873785650765625800
[51,21] -208739652991681748299
[51,24] -51241320123885317474
[51,27] -5534172238579408181
[51,30] -272633233395565956
[51,33] -10387731760024405
[51,36] -1092053114534714
[51,39] -83671635839487
[51,42] -2757124443760
[51,45] -30508159291
[51,48] 118719258
[51,51] -599907
[50,2] 835086113998150
[50,5] -659419365120220343664
[50,8] 128130519843332305750369
[50,11] -370191034716961780054376
[50,14] -821153378073646304848180
[50,17] 133352180374996424099752
[50,20] 206485390755432586752685
[50,23] 48646339214292943183540
[50,26] 5028907381368319772786
[50,29] 296026938169742586600
[50,32] 2556058847348102006
[50,35] -1461633247475131740
[50,38] -92404091555014642
[50,41] -1104439302402248
[50,44] 10310162195169
[50,47] -51187690546
[50,50] 229322732
[49,1] -2287935468750
[49,4] -3297096825601101718320
[49,7] -4671430434028781456397424
[49,10] 72226359537023681081455248
[49,13] -89198123049820145705886032
[49,16] -99220060372215600357734040
[49,19] -22396121645592709426697078
[49,22] -758206973540696472869124
[49,25] -136072210453575717085474
[49,28] -94776293414678295367012
[49,31] -15061544079278858230841
[49,34] -970366914908117711258
[49,37] -19820244846840252151
[49,40] 502571278264890904
[49,43] 4448329630716981
[49,46] 5917745037114
[49,49] -86816352617
[48,3] -1566626907088303784000
[48,6] 33622238413042941441153253
[48,9] -2080703230436796325426130280
[48,12] 6849856773469033856825772052
[48,15] -1184143621833265191009211272
[48,18] -2406164879866079980216949044
[48,21] -731117068290536157125987378
[48,24] -137660930173623727253857272
[48,27] -19393977888802391560392314
[48,30] -1499724446616819082228775
[48,33] -28422570875875611804918
[48,36] 2967172039692811700772
[48,39] 107136185854499545118
[48,42] -800046932693530615
[48,45] 3417216446385310
[48,48] 17819902172370
[47,2] -35531088732280312500
[47,5] -116785760850719536409935600
[47,8] 9269239168102855910554205328
[47,11] -235993925613503683888818779524
[47,14] 62706678576802491210062881232
[47,17] -23336530515682083856473335131
[47,20] -28824229308933188710513168506
[47,23] -8610278746733095969114987973
[47,26] -1279899065756663984712989452
[47,29] -105660537523323787692235244
[47,32] -4598191647364275359231912
[47,35] -161682491368846718644182
[47,38] -8446550769710203039924
[47,41] -258876236873833717309
[47,44] -671378699266849942
[47,47] -3605675937577266
[46,1] -5176694340625000
[46,4] 80081574902082691093980625
[46,7] 46346195840514279552771026640
[46,10] 2507775165638232326253763051360
[46,13] -4303427953652320915846050050256
[46,16] -845374500137368145157707269579
[46,19] -594581365031068075311667981392
[46,22] -219391262536081889105668200150
[46,25] -36979401071771468016322406004
[46,28] -2956772994458098417556636085
[46,31] -93141982730167557264052822
[46,34] 3876310937328195501678348
[46,37] 452228287225360950072542
[46,40] 14673940266228353545775
[46,43] 168401907016194088438
[46,46] 359552355391595930
[45,3] -12125417869316951010968750
[45,6] -260087903804599540678266285000
[45,9] -14814953524021837095182448282784
[45,12] 43422312790864266559354984634640
[45,15] -26728350290806988531021104430502
[45,18] -8327572770590690235616220832636
[45,21] -3044098398172581300002540909463
[45,24] -711185921094849172820835370826
[45,27] -94610132921987843686486635933
[45,30] -6051216189321537903807140080
[45,33] -123359317207558767052211937
[45,36] 3614699217677751814454762
[45,39] 76576373863813943177576
[45,42] -4319457358016212912586
[45,45] -37903863509296903428
[44,2] 82751273967261107421875
[44,5] 225707373553199003379547650000
[44,8] 62694379140955808156344076284000
[44,11] -128623065761223620482958134556760
[44,14] 405187077402503338186358971340224
[44,17] -22172094083603686542516990226378
[44,20] -4173499292767342968979714371080
[44,23] -3665420929354268154523983400062
[44,26] -982343484188507631614776844020
[44,29] -123907159701997621458075002724
[44,32] -8208660451796778089906356486
[44,35] -288510172895497790806184568
[44,38] -5009976342401790952068608
[44,41] -34817147797744717261410
[44,44] 173503306492597308386
[43,1] -3111258223632812500
[43,4] -28921174587262639066748125000
[43,7] -147496203508439802430511737202500
[43,10] -643115328806118102414790672783800
[43,13] -2292878731759517235572446432722080
[43,16] 1523506064198035483376373222283464
[43,19] -143962024232316060915256159001022
[43,22] -64253858079120477830692938173536
[43,25] -14378864013456749835131798613866
[43,28] -2352612121843468263781494536232
[43,31] -216331184181176759878742666085
[43,34] -9836544734712620036197395462
[43,37] -174344139969980773402967114
[43,40] -266788714910577908983410
[43,43] -2407082011845768127628
[42,3] -4135826572443551808671875000
[42,6] 107029012085453654012902688312500
[42,9] 5427789098858033319919373079330000
[42,12] 7241967626184838326064791893620160
[42,15] -13056909392373851575744217743376060
[42,18] 4773014044673690428989002586440552
[42,21] 472201049470123189133543980233244
[42,24] -35504577095896480290643860080404
[42,27] -7347064770501924051703891300192
[42,30] -678140536122983726260026783084
[42,33] -46464818133784082666538206544
[42,36] -1808826453686787242871262931
[42,39] -30071583488088666615791618
[42,42] -464256250302403485123482
[41,2] -20911642253536847656250000
[41,5] -34843016816335994416361731250000
[41,8] -13448212355163502862018906407050000
[41,11] -57321968293987930889311160818052000
[41,14] 32178224342183744619586482457721840
[41,17] -57479010405370793900532977563866349
[41,20] 4206716129916110513328629318818834
[41,23] 2361533286383217124808777025042475
[41,26] 219572651832268343169832357171664
[41,29] 3183995752937141731417645171826
[41,32] -909397119144499353634949995420
[41,35] -72107490034174131901869689821
[41,38] -1974073901953225701290739862
[41,41] -14163044477273609038617684
[40,1] -808996242587890625000
[40,4] -8019075957750452195783007812500
[40,7] 4898959263812694625786162596250000
[40,10] 253241923376564586366474357087640000
[40,13] 160891121710918723097932412288609200
[40,16] 421426012341425579546058651795965560
[40,19] -106667441582496758009826538895566372
[40,22] -32073383052952145070171117768505810
[40,25] -3544124165309696431759849608824888
[40,28] -260391173718361418132863150113084
[40,31] -13789072749840437950027873605472
[40,34] -531072363880122969050193304895
[40,37] -13978149590141878731418839354
[40,40] -128674016283221946486609822
[39,3] -537032568724563740807617187500
[39,6] -2312780511393096076189865765625000
[39,9] -417630473293859195797204756726593750
[39,12] -1632113674046731446968027217922007500
[39,15] -2194213632155721048373682170585762532
[39,18] 820196197165865638091610547912867520
[39,21] 143299388455948865700909053584737073
[39,24] 11365721558120020438987177031704866
[39,27] 990747568461620894083274653611231
[39,30] 38406679303874883794148348148952
[39,33] -2286778423395791694287744770927
[39,36] -249009096960725756906230460034
[39,39] -7540578062880291656577330628
[38,2] -696071866330891137695312500
[38,5] -4844729510362089861217482421875000
[38,8] -330224414116159431702229402179296875
[38,11] 4760956450618860885551166319635825000
[38,14] 10535650308535639488651466294899139000
[38,17] -1795082713100404094630954545190042176
[38,20] 797013340683596179973926891138628319
[38,23] 167475667174389371122230619910526660
[38,26] 7954823338143461635802762344901450
[38,29] -86064393831098065942246333186000
[38,32] -30056327652369591335140722883098
[38,35] -2617486934181590771333964668714
[38,38] -113527738859514833038609239394
[37,1] -114494982625122070312500
[37,4] 162783423309321806762392578125000
[37,7] -227895805817207850160872413388671875
[37,10] -1732194850281538011134139861435781250
[37,13] -35924381503356746187833110977416468125
[37,16] -8975413565502020473154772725950210880
[37,19] -14799766944845031203939993858325453097
[37,22] -2490297476614943037604581304899813330
[37,25] -179683524803588420497471868466002875
[37,28] -10245357919658758130316733129429936
[37,31] -609279163512942114484499267578991
[37,34] -23627127734882282459860476269678
[37,37] -533714334260602638351877888370
[36,3] -15224419728111743951416015625000
[36,6] -587442597623554682670153575195312500
[36,9] -16264790567559941866437931313742187500
[36,12] 74578344448026412952953165413133625000
[36,15] 102524524645733204761451318489108440000
[36,18] 104786791168496396330055435935425739414
[36,21] 15802331628379010782388784110712817934
[36,24] 1317204949883832751285460391124312996
[36,27] 123938539532871265202329155159434154
[36,30] 9427969142434328177910038953201599
[36,33] 295683612147875887174486933521746
[36,36] -2820867280260736536707546561934
[35,2] 45189938331675195312500000000
[35,5] -136695078403275814371930407714843750
[35,8] -29032293214407620864827538153906250000
[35,11] -56235165715748461295021937109774218750
[35,14] -333335754945302368780707934048644912500
[35,17] -369994173621125780098499846458136327425
[35,20] -34680252706906743596190327636736155642
[35,23] -3707945832812846403302691366693783437
[35,26] -928398414829430894665742134791589292
[35,29] -105848157357173935195062157856416685
[35,32] -5248919020011119004559068394564214
[35,35] -118741412546279192994229072143088
[34,1] -10018354461517333984375000
[34,4] 31507170220250333671979522705078125
[34,7] -35185826793131333875138145148925781250
[34,10] -40756829030931083681442523155078125000
[34,13] 328649697649696133853799165532721406250
[34,16] 498133337927247612483704306961642699375
[34,19] -173401263534533717980951638183680778210
[34,22] -10367295640861595976438008707253056822
[34,25] 4719878450943925847117264661724016126
[34,28] 655689046765026094959280546757367821
[34,31] 26649349248428828107974408599938038
[34,34] -85871626674659980351443630495194
[33,3] -796278583494879716106414794921875
[33,6] -22311922250077397373229595275878906250
[33,9] -743188085491352856445932839224365234375
[33,12] 922267674746334353776453086393054687500
[33,15] 2239052944624201026576703962261516765625
[33,18] 1975291453547376347798598013839102241750
[33,21] 135738156473897367018750788453214991274
[33,24] -16888487202730247988618642980441610010
[33,27] -1526728584383501313221629349409571646
[33,30] 108473380683140036345367063456420342
[33,33] 13618562101590093084876581761805962
[32,2] 3112128564104474449157714843750
[32,5] -578466013748700311942385864257812500
[32,8] -1339057998877452936435963135681152343750
[32,11] -3137395414019554581576803621754687500000
[32,14] -12528665255059431668035592878322582031250
[32,17] -7782179614421696992514316577811916656250
[32,20] -259182391021539899410950217681326420550
[32,23] 26658567231618568270292480474324406854
[32,26] -16915278632000538956633729643492578748
[32,29] -3540746012047314756394237367278751146
[32,32] -231620640149472057830467651297512262
[31,1] -585599670581817626953125000
[31,4] 927855285917147506399917602539062500
[31,7] -1313824271657271723802946162872314453125
[31,10] -4474390782903159368315409423903808593750
[31,13] 23061848499836104734460713135180419921875
[31,16] 13084036497999169618924267180509895312500
[31,19] -2317466145508029002064182104183614648125
[31,22] 133292836158092841351462402371622034270
[31,25] 215608642127600573827556489639902775170
[31,28] 32952483041006003254468724262767963958
[31,31] 1833642461074118536199360949855954092
[30,3] -24433765470450075852394104003906250
[30,6] -525134773916716488852910125732421875000
[30,9] -21703671908412145166651470056945800781250
[30,12] -8668109642552851633457973652442382812500
[30,15] 22198674918203164919896830140048566406250
[30,18] 20581327341934886738835318611317390562500
[30,21] -2111060900341280998577330372555201251250
[30,24] -1426885569964950177445175215940243617192
[30,27] -177448134563790057902656888943971898170
[30,30] -6732420171649575396166537399472935754
[29,2] 76908199173754405975341796875000
[29,5] -12976857228620120724246406555175781250
[29,8] -28213044030587362683351445010375976562500
[29,11] -87761621175883482880443106774084472656250
[29,14] -173052937759262521082023906680902734375000
[29,17] -70188876876401726756824948619532373046875
[29,20] 14749620159199768272241452067887550393750
[29,23] 5390216053190014345688912240997569379250
[29,26] 360517256385300472985768381017406058830
[29,29] -25175459412067561461616023277499311302
[28,1] -24019026660919189453125000000
[28,4] 11989849522991942817654609680175781250
[28,7] -24412137332089690870532788314819335937500
[28,10] -149893720121537419374813361209106445312500
[28,13] 268033022256186942345986764125566406250000
[28,16] 77683821661557242537136351024428222656250
[28,19] -72531126158549288645761104280592913437500
[28,22] -10572049145000336847896081027182861717500
[28,25] 1802586281926502364928841905087030294150
[28,28] 476394281360871880721608868301014427590
[27,3] -329862370406353961288928985595703125
[27,6] -9247769302750774173923642158508300781250
[27,9] -360909015357924818750330489856719970703125
[27,12] -224214623123227662710690042120117187500000
[27,15] 241881730581450413594549475979304443359375
[27,18] 242067460025139189848299131170769832031250
[27,21] -23855134130992208019087958584524556968750
[27,24] -22181016820473757237832111117996487271250
[27,27] -3324576328347043854579909732965361210930
[26,2] 874606154684275388717651367187500
[26,5] -1129821460422018711173677444458007812500
[26,8] -281979846425828782802260979175567626953125
[26,11] -1794900605654501544022746685968017578125000
[26,14] -1589301597402108264971088562701928710937500
[26,17] -500261617170837799331871734835446093750000
[26,20] 256128533892588318343468963577096805078125
[26,23] 102976509503143760170214763321149887368750
[26,26] 11909857034021797018040221707525360689750
[25,1] -713224812299013137817382812500
[25,4] 88222902467770155251026153564453125000
[25,7] -251914352234181851606929883956909179687500
[25,10] -2363341516532852582131862692337036132812500
[25,13] 485839195699637105013678767673645019531250
[25,16] -105059074500852131277156168439941406250000
[25,19] -1033673411691151710889278885316569189453125
[25,22] -276620782191196465343299794318652433281250
[25,25] -15734662132542225913510014548437069563750
[24,3] -2031275878813609153032302856445312500
[24,6] -89390542901564781798647344112396240234375
[24,9] -2885444731388825370696611442565917968750000
[24,12] -2586900848857817559280497677169799804687500
[24,15] 1172078836177822381413218632475341796875000
[24,18] 2301750278914630902810068103808984130859375
[24,21] 211862071646757883487045045813320980468750
[24,24] -105194065182024615565102146866764621156250
[23,2] 973420435447990894317626953125000
[23,5] -22443449615357604966820776462554931640625
[23,8] -1110338958861441102791462206840515136718750
[23,11] -20630949419133831012605921371936798095703125
[23,14] -10520227622864103660604761967065429687500000
