[20,0] 1
[19,1] -17821202
[19,2] -1151139700
[19,3] -12350074993
[19,4] -49940956600
[19,5] -104641616272
[19,6] -133519466080
[19,7] -113964056218
[19,8] -69022150288
[19,9] -30824944348
[19,10] -10408390456
[19,11] -2698352431
[19,12] -541141204
[19,13] -83973730
[19,14] -10008288
[19,15] -900543
[19,16] -59280
[19,17] -2698
[19,18] -76
[19,19] -1
[18,1] -56405845300
[18,2] 31586089530117
[18,3] -576208584692220
[18,4] 262834103363788
[18,5] 1148254642080992
[18,6] 924749848793688
[18,7] 364010584977784
[18,8] 68941539111728
[18,9] -2722019961576
[18,10] -5699009756062
[18,11] -1848264955100
[18,12] -361702377750
[18,13] -49062070484
[18,14] -4763330096
[18,15] -329219688
[18,16] -15711936
[18,17] -488756
[18,18] -8949
[17,1] -29652530058193
[17,2] -28234220649918780
[17,3] -469938272876208850
[17,4] -483752250181224560
[17,5] -948314186863940658
[17,6] -593912137716068704
[17,7] -180755662625620940
[17,8] -36617514862498608
[17,9] -8072573910193124
[17,10] -2190193727352952
[17,11] -492291015694362
[17,12] -77189299739508
[17,13] -8335259655191
[17,14] -630245186700
[17,15] -34005213178
[17,16] -1314560904
[17,17] -34249647
[16,1] -5875503603033400
[16,2] 631064682176454988
[16,3] -23703860258880003440
[16,4] 99448107817603224991
[16,5] 81422258386869144328
[16,6] 43114804110957107032
[16,7] 10756556354592498184
[16,8] -852858870451814470
[16,9] -1174972148232553528
[16,10] -319112638972841116
[16,11] -49170683441452264
[16,12] -5302505485578235
[16,13] -455556225642948
[16,14] -32273774860766
[16,15] -1730725839236
[16,16] -61423605156
[15,1] -603238094126441872
[15,2] 135091010386186627808
[15,3] -2276902362660321519858
[15,4] 3989690660956588072072
[15,5] 856125386896796522660
[15,6] -1107832886626846951200
[15,7] -1009507558325075713783
[15,8] -393874661458136678436
[15,9] -82878896864776119702
[15,10] -10153857784766068136
[15,11] -882499051293338482
[15,12] -92034007053601776
[15,13] -11332782389116318
[15,14] -995771747285124
[15,15] -53849840684586
[14,1] -37715944427295053920
[14,2] 5330998853075701376088
[14,3] -69873169090157766956896
[14,4] 103518644670408013983832
[14,5] -54283811444715500608800
[14,6] -79072329844173224811818
[14,7] -32024403777583935776548
[14,8] -5196959135909517483066
[14,9] 117471451611059729284
[14,10] 155661624288826534234
[14,11] 16120262586408967608
[14,12] -666696850153220064
[14,13] -247590970429768480
[14,14] -20650298995247736
[13,1] -1577409232704247865818
[13,2] 102823980630235194868216
[13,3] -1042020424659842220532940
[13,4] 1265498098561452818849416
[13,5] -2423827647538506788792983
[13,6] -1569195785101612853050852
[13,7] -192897601374246271825336
[13,8] 97977521546308727143604
[13,9] 39385217684088067203368
[13,10] 5353027502945578436260
[13,11] 121972582157619635490
[13,12] -44952884040371228712
[13,13] -5080349465396571514
[12,1] -46812414862972850330512
[12,2] 954239642924401675393328
[12,3] -10343541628545495056953392
[12,4] -4916561669239490508470470
[12,5] -46338960045888322081316964
[12,6] -12477898885318751476841466
[12,7] 4800898555769127630036596
[12,8] 2972993053538096682347023
[12,9] 526907612698694468518620
[12,10] 14073862488110855761394
[12,11] -7494061624917015788188
[12,12] -1015034227480839815160
[11,1] -1024403235328898765565148
[11,2] -1846136742696391628850024
[11,3] -111734813942282610659405924
[11,4] -331900550140055467727628472
[11,5] -477780347524958239634209302
[11,6] 13820398810589566090533316
[11,7] 94563907659495449355286568
[11,8] 25818473022236028957412380
[11,9] 663103472236278492923266
[11,10] -766341030336535486902664
[11,11] -135157756990178421593295
[10,1] -16949164550911738914274744
[10,2] -189394795538687177722671262
[10,3] -1485439919899924008231200248
[10,4] -4416929685492119525497356316
[10,5] -2868213506062383503467565864
[10,6] 897358287361851493378697434
[10,7] 629778332694044357447552740
[10,8] 33791343833954164683106994
[10,9] -37550710486490238858230536
[10,10] -9394728900622356021627211
[9,1] -215307655739160712393124431
[9,2] -3009739785426185474805839900
[9,3] -16360273144609088571184289562
[9,4] -33348692017747196873227980136
[9,5] -12214922823561128427467368882
[9,6] 4553575188041257140902734392
[9,7] 703147663594827832292387490
[9,8] -881668856109861990464530012
[9,9] -324513774533418390245501295
[8,1] -2115765269654740646753470996
[8,2] -28861052445907449908635377750
[8,3] -125696105309000306048811319092
[8,4] -176217796647149920369398234235
[8,5] -62419587070500337171883779824
[8,6] -9227942578972779760779600864
[8,7] -12698077112571988882858149288
[8,8] -5851470329615772847274183160
[7,1] -16087790597019211329977685730
[7,2] -191823915865405347983367645716
[7,3] -665089258066741857641963547191
[7,4] -741833952449737300444352363652
[7,5] -376621570297899539574783849118
[7,6] -167921908774543472649243999520
[7,7] -70318576032000757686009392314
[6,1] -93952606813515967644175218912
[6,2] -912564645263791631243091112496
[6,3] -2464145896727775073385873748300
[6,4] -2575197638119416351892065652766
[6,5] -1621528253694143148975021860676
[6,6] -686269952750569301138585673336
[5,1] -414237655579609758677931302943
[5,2] -3090543347866528326406420417512
[5,3] -6514760613999904168093094176378
[5,4] -6766828315571369519698083290564
[5,5] -4296800827988467051546849316586
[4,1] -1336132092432237059448533400720
[4,2] -7227279023052615403509994796736
[4,3] -12340414638940457133603841746696
[4,4] -11767609911620188209801696251556
[3,1] -2979745865110097903731697244298
[3,2] -11016237803117585293991690128244
[3,3] -15754376501409943370249209439247
[2,1] -4112888658884360486840934224524
[2,2] -9883523256808845863786122549749
[1,1] -2651730845859653471779023381601
